expiry,strike,forward_lower,forward_upper,fitted_forward,inside_bid_ask_bounds
2026-10-16,7365.0,7608.920842568971,7633.915200511225,7624.4801684866015,True
2026-10-16,7370.0,7608.901895191009,7633.896253133262,7624.4801684866015,True
2026-10-16,7375.0,7609.685979393521,7633.877305755299,7624.4801684866015,True
2026-10-16,7380.0,7608.9643793826435,7633.958737324896,7624.4801684866015,True
2026-10-16,7385.0,7608.945432004682,7633.939789946934,7624.4801684866015,True
2026-10-16,7390.0,7609.026863574278,7634.021221516531,7624.4801684866015,True
2026-10-16,7395.0,7609.007916196316,7634.002274138568,7624.4801684866015,True
2026-10-16,7400.0,7609.189726713472,7633.8829478130465,7624.4801684866015,True
2026-10-16,7405.0,7612.081768814728,7633.9643793826435,7624.4801684866015,True
2026-10-16,7410.0,7608.850695114869,7633.845053057122,7624.4801684866015,True
2026-10-16,7415.0,7608.932126684466,7633.926484626719,7624.4801684866015,True
2026-10-16,7420.0,7608.9131793065035,7633.907537248757,7624.4801684866015,True
2026-10-16,7425.0,7608.894231928542,7633.888589870794,7624.4801684866015,True
2026-10-16,7430.0,7623.43023194667,7625.437810897855,7624.4801684866015,True
2026-10-16,7435.0,7623.511663516267,7625.4188635198925,7624.4801684866015,True
2026-10-16,7440.0,7623.492716138305,7625.399916141931,7624.4801684866015,True
2026-10-16,7445.0,7623.473768760342,7625.380968763968,7624.4801684866015,True
2026-10-16,7450.0,7623.555200329939,7625.261642438446,7624.4801684866015,True
2026-10-16,7455.0,7623.435874004417,7625.443452955602,7624.4801684866015,True
2026-10-16,7460.0,7623.416926626455,7625.42450557764,7624.4801684866015,True
2026-10-16,7465.0,7623.397979248492,7625.505937147237,7624.4801684866015,True
2026-10-16,7470.0,7623.3790318705305,7625.486989769274,7624.4801684866015,True
2026-10-16,7475.0,7623.360084492568,7625.468042391312,7624.4801684866015,True
2026-10-16,7480.0,7623.441516062165,7625.549473960909,7624.4801684866015,True
2026-10-16,7485.0,7623.322189736643,7625.430147635388,7624.4801684866015,True
2026-10-16,7490.0,7623.303242358681,7625.511579204985,7624.4801684866015,True
2026-10-16,7495.0,7623.384673928278,7625.492631827022,7624.4801684866015,True
2026-10-16,7500.0,7623.767242340552,7625.172547606382,7624.4801684866015,True
2026-10-16,7505.0,7623.346779172353,7625.555116018656,7624.4801684866015,True
2026-10-16,7510.0,7623.428210741949,7625.536168640694,7624.4801684866015,True
2026-10-16,7515.0,7623.208505468869,7625.617600210291,7624.4801684866015,True
2026-10-16,7520.0,7623.390315986025,7625.498273884769,7624.4801684866015,True
2026-10-16,7525.0,7623.371368608063,7625.579705454366,7624.4801684866015,True
2026-10-16,7530.0,7623.252042282541,7625.5607580764035,7624.4801684866015,True
2026-10-16,7535.0,7623.333473852138,7625.541810698442,7624.4801684866015,True
2026-10-16,7540.0,7623.314526474175,7625.623242268038,7624.4801684866015,True
2026-10-16,7545.0,7623.195200148654,7625.503915942517,7624.4801684866015,True
2026-10-16,7550.0,7623.778526456047,7625.284210669436,7624.4801684866015,True
2026-10-16,7555.0,7623.3580632878475,7625.566400134151,7624.4801684866015,True
2026-10-16,7560.0,7623.339115909886,7625.547452756188,7624.4801684866015,True
2026-10-16,7565.0,7623.420547479482,7625.628884325785,7624.4801684866015,True
2026-10-16,7570.0,7623.40160010152,7625.5095580002635,7624.4801684866015,True
2026-10-16,7575.0,7623.382652723557,7625.5909895698605,7624.4801684866015,True
2026-10-16,7580.0,7623.363705345595,7625.572042191899,7624.4801684866015,True
2026-10-16,7585.0,7623.445136915192,7625.553094813936,7624.4801684866015,True
2026-10-16,7590.0,7623.426189537229,7625.534147435974,7624.4801684866015,True
2026-10-16,7595.0,7623.407242159267,7625.615579005571,7624.4801684866015,True
2026-10-16,7600.0,7623.890189519101,7625.29549478493,7624.4801684866015,True
2026-10-16,7605.0,7623.4697263509015,7625.678063197205,7624.4801684866015,True
2026-10-16,7610.0,7623.45077897294,7625.558736871683,7624.4801684866015,True
2026-10-16,7615.0,7623.431831594977,7625.64016844128,7624.4801684866015,True
2026-10-16,7620.0,7623.412884217015,7625.6212210633175,7624.4801684866015,True
2026-10-16,7625.0,7623.494315786611,7625.702652632915,7624.4801684866015,True
2026-10-16,7630.0,7623.475368408649,7625.683705254953,7624.4801684866015,True
2026-10-16,7635.0,7623.556799978246,7625.66475787699,7624.4801684866015,True
2026-10-16,7640.0,7623.437473652724,7625.746189446587,7624.4801684866015,True
2026-10-16,7645.0,7623.518905222321,7625.626863121065,7624.4801684866015,True
2026-10-16,7650.0,7623.801094687036,7625.306778900425,7624.4801684866015,True
2026-10-16,7655.0,7623.481010466397,7625.689347312699,7624.4801684866015,True
2026-10-16,7660.0,7623.462063088434,7625.670399934737,7624.4801684866015,True
2026-10-16,7665.0,7623.543494658031,7625.751831504334,7624.4801684866015,True
2026-10-16,7670.0,7623.524547280068,7625.632505178813,7624.4801684866015,True
2026-10-16,7675.0,7623.505599902106,7625.61355780085,7624.4801684866015,True
2026-10-16,7680.0,7623.587031471703,7625.694989370447,7624.4801684866015,True
2026-10-16,7685.0,7623.56808409374,7625.676041992485,7624.4801684866015,True
2026-10-16,7690.0,7623.549136715778,7625.657094614522,7624.4801684866015,True
2026-10-16,7695.0,7623.5301893378155,7625.63814723656,7624.4801684866015,True
2026-10-16,7700.0,7623.7119998549715,7625.619199858597,7624.4801684866015,True
2026-10-16,7705.0,7623.492294581891,7625.700631428194,7624.4801684866015,True
2026-10-16,7710.0,7623.573726151488,7625.581305102673,7624.4801684866015,True
2026-10-16,7715.0,7623.554778773526,7625.562357724711,7624.4801684866015,True
2026-10-16,7720.0,7623.535831395563,7625.643789294308,7624.4801684866015,True
2026-10-16,7725.0,7623.416505070041,7625.624841916345,7624.4801684866015,True
2026-10-16,7730.0,7623.598315587197,7625.806652433501,7624.4801684866015,True
2026-10-16,7735.0,7623.579368209235,7625.58694716042,7624.4801684866015,True
2026-10-16,7740.0,7623.4600418837135,7625.668378730017,7624.4801684866015,True
2026-10-16,7745.0,7623.541473453311,7625.549052404495,7624.4801684866015,True
2026-10-16,7750.0,7623.823662918026,7625.530105026533,7624.4801684866015,True
2026-10-16,7755.0,7623.603957644945,7625.61153659613,7624.4801684866015,True
2026-10-16,7760.0,7623.585010266983,7625.592589218168,7624.4801684866015,True
2026-10-16,7765.0,7623.666441836579,7625.573641840205,7624.4801684866015,True
2026-10-16,7770.0,7623.647494458617,7625.554694462243,7624.4801684866015,True
2026-10-16,7775.0,7623.628547080654,7625.63612603184,7624.4801684866015,True
2026-10-16,7780.0,7623.609599702692,7625.516799706318,7624.4801684866015,True
2026-10-16,7785.0,7623.691031272289,7625.497852328355,7624.4801684866015,True
2026-10-16,7790.0,7612.128504925014,7633.007326017337,7624.4801684866015,True
2026-10-16,7795.0,7610.704252281222,7635.598231275915,7624.4801684866015,True
2026-10-16,7800.0,7609.179620689871,7633.772462841886,7624.4801684866015,True
2026-10-16,7805.0,7609.060294364349,7633.954273359042,7624.4801684866015,True
2026-10-16,7810.0,7609.041346986386,7633.93532598108,7624.4801684866015,True
2026-10-16,7815.0,7609.122778555983,7634.016757550677,7624.4801684866015,True
2026-11-06,7375.0,7629.052363623735,7651.791307853028,7642.059762516918,True
2026-11-06,7400.0,7638.557684812624,7645.500105838381,7642.059762516918,True
2026-11-06,7425.0,7638.403985443938,7645.547636064644,7642.059762516918,True
2026-11-06,7450.0,7638.250286075251,7645.695781088382,7642.059762516918,True
2026-11-06,7475.0,7638.197201504039,7645.843926112119,7642.059762516918,True
2026-11-06,7500.0,7638.043502135352,7646.595759920706,7642.059762516918,True
2026-11-06,7520.0,7639.630994197473,7644.158660083837,7642.059762516918,True
2026-11-06,7525.0,7639.600254323736,7644.2285350075745,7642.059762516918,True
2026-11-06,7530.0,7639.670129247474,7644.298409931312,7642.059762516918,True
2026-11-06,7540.0,7639.608649499999,7644.236930183837,7642.059762516918,True
2026-11-06,7550.0,7639.748399347474,7644.2760652338375,7642.059762516918,True
2026-11-06,7560.0,7639.48569000505,7644.315200283838,7642.059762516918,True
2026-11-06,7570.0,7639.927284244949,7644.153105738888,7642.059762516918,True
2026-11-06,7575.0,7639.997159168686,7644.122365865151,7642.059762516918,True
2026-11-06,7580.0,7639.9664192949485,7644.192240788889,7642.059762516918,True
2026-11-06,7590.0,7639.904939547474,7644.130761041413,7642.059762516918,True
2026-11-06,7600.0,7639.944074597474,7644.069281293939,7642.059762516918,True
2026-11-06,7610.0,7639.983209647475,7644.209031141414,7642.059762516918,True
2026-11-06,7620.0,7639.9217299,7644.046936596465,7642.059762516918,True
2026-11-06,7625.0,7639.890990026262,7644.116811520202,7642.059762516918,True
2026-11-06,7630.0,7639.96086495,7644.186686443939,7642.059762516918,True
2026-11-06,7640.0,7639.899385202525,7644.125206696464,7642.059762516918,True
2026-11-06,7650.0,7640.03913505,7644.164341746465,7642.059762516918,True
2026-11-06,7660.0,7639.977655302526,7644.203476796465,7642.059762516918,True
2026-11-06,7670.0,7640.016790352525,7644.141997048991,7642.059762516918,True
2026-11-06,7675.0,7639.9860504787885,7644.111257175253,7642.059762516918,True
2026-11-06,7680.0,7639.955310605051,7644.18113209899,7642.059762516918,True
2026-11-06,7690.0,7638.08276450303,7646.433792693435,7642.059762516918,True
2026-11-06,7700.0,7638.021284755556,7646.37231294596,7642.059762516918,True
2026-11-06,7710.0,7638.060419805556,7646.41144799596,7642.059762516918,True
2026-11-06,7720.0,7638.099554855557,7646.45058304596,7642.059762516918,True
2026-11-06,7725.0,7638.068814981819,7646.218613577274,7642.059762516918,True
2026-11-06,7730.0,7638.138689905556,7646.288488501011,7642.059762516918,True
2026-11-06,7740.0,7638.177824955556,7646.327623551011,7642.059762516918,True
2026-11-06,7750.0,7638.317574803032,7646.266143803537,7642.059762516918,True
2026-11-06,7775.0,7638.365105029294,7646.213059232325,7642.059762516918,True
2026-11-06,7800.0,7638.513250053032,7646.260589458587,7642.059762516918,True
2026-12-18,7370.0,7667.383431428494,7669.8094009574825,7668.819074617353,True
2026-12-18,7375.0,7667.329328243101,7669.856379835798,7668.819074617353,True
2026-12-18,7380.0,7667.376307121417,7669.8022766504055,7668.819074617353,True
2026-12-18,7390.0,7667.36918281434,7669.896234407036,7668.819074617353,True
2026-12-18,7400.0,7667.362058507263,7669.889110099959,7668.819074617353,True
2026-12-18,7410.0,7667.354934200186,7669.881985792882,7668.819074617353,True
2026-12-18,7420.0,7667.347809893108,7669.874861485805,7668.819074617353,True
2026-12-18,7425.0,7667.394788771424,7669.92184036412,7668.819074617353,True
2026-12-18,7430.0,7667.44176764974,7669.9688192424355,7668.819074617353,True
2026-12-18,7440.0,7667.434643342662,7669.9616949353585,7668.819074617353,True
2026-12-18,7450.0,7667.427519035585,7669.9545706282815,7668.819074617353,True
2026-12-18,7460.0,7667.420394728508,7669.947446321205,7668.819074617353,True
2026-12-18,7470.0,7667.312188357723,7670.041404077835,7668.819074617353,True
2026-12-18,7475.0,7667.2580851723305,7669.987300892442,7668.819074617353,True
2026-12-18,7480.0,7667.507228178061,7670.034279770758,7668.819074617353,True
2026-12-18,7490.0,7667.399021807277,7670.128237527389,7668.819074617353,True
2026-12-18,7500.0,7667.391897500199,7670.121113220312,7668.819074617353,True
2026-12-18,7510.0,7667.384773193122,7670.113988913234,7668.819074617353,True
2026-12-18,7520.0,7667.478730949753,7670.106864606157,7668.819074617353,True
2026-12-18,7525.0,7667.424627764361,7670.052761420765,7668.819074617353,True
2026-12-18,7530.0,7667.370524578968,7670.09974029908,7668.819074617353,True
2026-12-18,7540.0,7667.464482335598,7670.19369805571,7668.819074617353,True
2026-12-18,7550.0,7667.457358028521,7670.085491684926,7668.819074617353,True
2026-12-18,7560.0,7667.349151657737,7670.280531505264,7668.819074617353,True
2026-12-18,7570.0,7667.443109414367,7670.172325134479,7668.819074617353,True
2026-12-18,7575.0,7667.490088292682,7670.3203860765025,7668.819074617353,True
2026-12-18,7580.0,7667.43598510729,7670.26628289111,7668.819074617353,True
2026-12-18,7590.0,7667.428860800213,7670.158076520325,7668.819074617353,True
2026-12-18,7600.0,7667.4217364931355,7670.252034276956,7668.819074617353,True
2026-12-18,7610.0,7667.414612186059,7670.345992033586,7668.819074617353,True
2026-12-18,7620.0,7667.508569942689,7670.136703599093,7668.819074617353,True
2026-12-18,7625.0,7667.555548821005,7670.284764541117,7668.819074617353,True
2026-12-18,7630.0,7667.501445635612,7670.129579292016,7668.819074617353,True
2026-12-18,7640.0,7667.494321328535,7670.122454984939,7668.819074617353,True
2026-12-18,7650.0,7667.487197021458,7670.317494805277,7668.819074617353,True
2026-12-18,7660.0,7667.480072714381,7670.613616689324,7668.819074617353,True
2026-12-18,7670.0,7667.472948407304,7670.505410318539,7668.819074617353,True
2026-12-18,7675.0,7667.519927285619,7670.350225069439,7668.819074617353,True
2026-12-18,7680.0,7667.465824100226,7670.195039820339,7668.819074617353,True
2026-12-18,7690.0,7667.559781856858,7670.491161704385,7668.819074617353,True
2026-12-18,7700.0,7667.451575486072,7670.4840373973075,7668.819074617353,True
2026-12-18,7710.0,7667.545533242703,7670.577995153939,7668.819074617353,True
2026-12-18,7720.0,7667.639490999334,7670.671952910569,7668.819074617353,True
2026-12-18,7725.0,7667.585387813941,7670.415685597761,7668.819074617353,True
2026-12-18,7730.0,7667.531284628549,7670.361582412369,7668.819074617353,True
2026-12-18,7740.0,7667.625242385179,7670.556622232707,7668.819074617353,True
2026-12-18,7750.0,7667.618118078102,7670.347333798214,7668.819074617353,True
2026-12-18,7760.0,7667.712075834733,7670.340209491137,7668.819074617353,True
2026-12-18,7770.0,7667.704951527656,7670.535249311476,7668.819074617353,True
2026-12-18,7775.0,7667.650848342263,7670.481146126083,7668.819074617353,True
2026-12-18,7780.0,7667.697827220579,7670.427042940691,7668.819074617353,True
2026-12-18,7790.0,7667.589620849793,7670.419918633614,7668.819074617353,True
2026-12-18,7800.0,7667.683578606425,7670.71604051766,7668.819074617353,True
2026-12-18,7810.0,7667.676454299348,7670.40567001946,7668.819074617353,True
2026-12-31,7365.0,7679.754968726328,7682.589687003696,7681.47309125863,True
2026-12-31,7370.0,7679.794211740934,7682.527690079824,7681.47309125863,True
2026-12-31,7375.0,7679.83345475554,7682.56693309443,7681.47309125863,True
2026-12-31,7380.0,7679.771457831668,7682.606176109036,7681.47309125863,True
2026-12-31,7385.0,7679.810700846274,7682.5441791851645,7681.47309125863,True
2026-12-31,7390.0,7679.84994386088,7682.583422199771,7681.47309125863,True
2026-12-31,7395.0,7679.787946937009,7682.622665214377,7681.47309125863,True
2026-12-31,7400.0,7680.029669828569,7682.256948475073,7681.47309125863,True
2026-12-31,7405.0,7679.765193027743,7682.701151243588,7681.47309125863,True
2026-12-31,7410.0,7679.601956165394,7682.639154319717,7681.47309125863,True
2026-12-31,7415.0,7679.742439118478,7682.678397334324,7681.47309125863,True
2026-12-31,7420.0,7679.781682133083,7682.717640348929,7681.47309125863,True
2026-12-31,7425.0,7679.820925147689,7682.756883363535,7681.47309125863,True
2026-12-31,7430.0,7679.860168162296,7682.897366316618,7681.47309125863,True
2026-12-31,7435.0,7679.798171238424,7682.734129454269,7681.47309125863,True
2026-12-31,7440.0,7679.736174314553,7682.874612407353,7681.47309125863,True
2026-12-31,7445.0,7679.876657267636,7682.913855421959,7681.47309125863,True
2026-12-31,7450.0,7680.118380159197,7682.446898744178,7681.47309125863,True
2026-12-31,7455.0,7679.85390335837,7682.891101512693,7681.47309125863,True
2026-12-31,7460.0,7679.791906434499,7682.930344527299,7681.47309125863,True
2026-12-31,7465.0,7679.831149449105,7682.76710766495,7681.47309125863,True
2026-12-31,7470.0,7679.870392463711,7682.806350679556,7681.47309125863,True
2026-12-31,7475.0,7679.80839553984,7682.744353755685,7681.47309125863,True
2026-12-31,7480.0,7679.847638554445,7682.8848367087685,7681.47309125863,True
2026-12-31,7485.0,7679.785641630574,7682.822839784897,7681.47309125863,True
2026-12-31,7490.0,7679.82488464518,7682.862082799503,7681.47309125863,True
2026-12-31,7495.0,7679.762887721308,7682.9013258141085,7681.47309125863,True
2026-12-31,7500.0,7680.1058505513465,7682.231889259373,7681.47309125863,True
2026-12-31,7505.0,7679.841373750521,7682.878571904843,7681.47309125863,True
2026-12-31,7510.0,7679.880616765126,7683.019054857927,7681.47309125863,True
2026-12-31,7515.0,7679.818619841255,7683.058297872532,7681.47309125863,True
2026-12-31,7520.0,7679.857862855861,7682.895061010184,7681.47309125863,True
2026-12-31,7525.0,7679.8971058704665,7682.9343040247895,7681.47309125863,True
2026-12-31,7530.0,7679.835108946595,7683.074786977873,7681.47309125863,True
