cusip,payment_date,years,cashflow_per_100,discount_factor,present_value
91282CNW7,2027-02-28,0.4684931506849315,1.9375,0.9813007904413532,1.901270281480122
91282CNW7,2027-08-31,0.9726027397260274,1.9375,0.9596825790490704,1.859384996907574
91282CNW7,2028-02-29,1.4712328767123288,1.9375,0.9377167100768039,1.8168261257738076
91282CNW7,2028-08-31,1.9753424657534246,1.9375,0.914732088124579,1.7722934207413716
91282CNW7,2029-02-28,2.4712328767123286,1.9375,0.8936560930199445,1.7314586802261425
91282CNW7,2029-08-31,2.9753424657534246,1.9375,0.8724818363442862,1.6904335579170546
91282CNW7,2030-02-28,3.4712328767123286,1.9375,0.8519767255040617,1.6507049056641194
91282CNW7,2030-08-31,3.9753424657534246,1.9375,0.8313650327676066,1.6107697509872378
91282CNW7,2031-02-28,4.471232876712329,1.9375,0.8113130944585172,1.5719191205133771
91282CNW7,2031-08-31,4.975342465753425,1.9375,0.7911638121080554,1.5328798859593573
91282CNW7,2032-02-29,5.473972602739726,1.9375,0.7718006822702411,1.495363821898592
91282CNW7,2032-08-31,5.978082191780822,101.9375,0.7525281168362005,76.71083490999018
91282CNX5,2027-02-28,0.4684931506849315,1.8125,0.9813007904413532,1.7786076826749526
91282CNX5,2027-08-31,0.9726027397260274,1.8125,0.9596825790490704,1.7394246745264401
91282CNX5,2028-02-29,1.4712328767123288,1.8125,0.9377167100768039,1.699611537014207
91282CNX5,2028-08-31,1.9753424657534246,1.8125,0.914732088124579,1.6579519097257993
91282CNX5,2029-02-28,2.4712328767123286,1.8125,0.8936560930199445,1.6197516685986495
91282CNX5,2029-08-31,2.9753424657534246,1.8125,0.8724818363442862,1.5813733283740188
91282CNX5,2030-02-28,3.4712328767123286,1.8125,0.8519767255040617,1.5442078149761118
91282CNX5,2030-08-31,3.9753424657534246,101.8125,0.8313650327676066,84.64335239865196
91282CNV9,2027-02-28,0.4684931506849315,1.8125,0.9813007904413532,1.7786076826749526
91282CNV9,2027-08-31,0.9726027397260274,101.8125,0.9596825790490704,97.70768257943348
91282CNT4,2027-02-15,0.4328767123287671,2.125,0.9827100038562738,2.088258758194582
91282CNT4,2027-08-15,0.9287671232876712,2.125,0.9615543189754981,2.0433029278229338
91282CNT4,2028-02-15,1.4328767123287671,2.125,0.9393925566081728,1.9962091827923671
91282CNT4,2028-08-15,1.9315068493150684,2.125,0.9167146940369943,1.948018724828613
91282CNT4,2029-02-15,2.4356164383561643,2.125,0.8951495403736933,1.9021927732940984
91282CNT4,2029-08-15,2.9315068493150687,2.125,0.8743045762587335,1.8578972245498087
91282CNT4,2030-02-15,3.4356164383561643,2.125,0.8534338260542411,1.8135468803652623
91282CNT4,2030-08-15,3.9315068493150687,2.125,0.8331387164274568,1.7704197724083457
91282CNT4,2031-02-15,4.435616438356164,2.125,0.812737961724487,1.7270681686645348
91282CNT4,2031-08-15,4.931506849315069,2.125,0.7928971838279388,1.68490651563437
91282CNT4,2032-02-15,5.435616438356164,2.125,0.7732728213442552,1.6432047453565424
91282CNT4,2032-08-15,5.934246575342466,2.125,0.7541855801615016,1.6026443578431908
91282CNT4,2033-02-15,6.438356164383562,2.125,0.7351767087568879,1.562250506108387
91282CNT4,2033-08-15,6.934246575342466,2.125,0.7167579782353117,1.5231107037500373
91282CNT4,2034-02-15,7.438356164383562,2.125,0.6985441683434062,1.4844063577297382
91282CNT4,2034-08-15,7.934246575342466,2.125,0.6809572103178597,1.447034071925452
91282CNT4,2035-02-15,8.438356164383562,2.125,0.6633837502313298,1.4096904692415757
91282CNT4,2035-08-15,8.934246575342465,102.125,0.6463924754971034,66.01283156014169
91282CNU1,2027-02-15,0.4328767123287671,1.8125,0.9827100038562738,1.7811618819894963
91282CNU1,2027-08-15,0.9287671232876712,1.8125,0.9615543189754981,1.7428172031430904
91282CNU1,2028-02-15,1.4328767123287671,1.8125,0.9393925566081728,1.7026490088523132
91282CNU1,2028-08-15,1.9315068493150684,101.8125,0.9167146940369943,93.33301478664148
