strategy,observed_shocks,std_dollars,loss_95_quantile_dollars,worst_change_dollars,residual_parallel_dv01_dollars
key_rate_least_squares_hedge,672,1788.8326988026663,2914.7753084401747,-7944.288306944402,327.1627889224592
parallel_dv01_hedge,672,670.1139627833043,1006.5875368469624,-2966.802348663948,-2.714770367177998e-14
unhedged,672,1935.943959940483,3232.517356634403,-8536.876537467037,358.8551132375528
