tenor,discount_factor,zero_rate
0.5,0.9800558631842015,0.040291411385915514
1.0,0.9585145922536303,0.04237049256054339
1.5,0.9364617874325643,0.04376437435083344
2.0,0.9136187571984309,0.04517095460352712
2.5,0.8924516662415198,0.045513168906595944
3.0,0.8714582155841426,0.0458624535237335
3.5,0.8508016529383937,0.04616464367230287
4.0,0.8303689956110889,0.04647127598984828
4.5,0.810164063971788,0.04678188971387417
5.0,0.7901904562956051,0.04709625573172807
5.5,0.7708033272191335,0.04733127743130725
6.0,0.7517007516434642,0.047569495145737405
6.5,0.7328823320799123,0.04781078756987289
7.0,0.7143475555828709,0.04805509465040521
7.5,0.6963500357951015,0.048253709343885814
8.0,0.6786562844705661,0.04845506100352922
8.5,0.6612637940307265,0.04865911005755825
9.0,0.6441700092090991,0.048865844251305066
9.5,0.6273723293418435,0.049075272409791364
10.0,0.6108681106273911,0.04928742013315897
10.5,0.5943627769290565,0.04954908671159611
11.0,0.5781319667499694,0.04981392001759215
11.5,0.562174188613851,0.050082046344213246
12.0,0.5464878705092916,0.05035359720594484
12.5,0.531071362720282,0.05062870989599416
13.0,0.5159229406366198,0.0509075280387994
13.5,0.5010408075425774,0.051190202150631685
14.0,0.4864230973822841,0.051476890218794605
14.5,0.47206787750032825,0.051767758308454585
15.0,0.4579731513561493,0.05206298120529219
15.5,0.44413686121084417,0.05236274310177879
16.0,0.4305568907850724,0.05266723833484281
16.5,0.41723106788680475,0.052976672182927495
17.0,0.4041571670077132,0.0532912617309207
17.5,0.39133291188706515,0.053611236812135026
18.0,0.3787559780420336,0.05393684103743269
18.5,0.36642399526340025,0.05426833292272889
19.0,0.35433455007567655,0.05460598712749216
19.5,0.34248518816073337,0.05495009581851471
20.0,0.3308734167440738,0.05530097017519492
20.5,0.3223128395068017,0.05523086116218704
21.0,0.3139799728262973,0.055163146472187445
21.5,0.30586872247376673,0.055097640958379844
22.0,0.2979731583503054,0.05503417587197723
22.5,0.29028751003920417,0.054972597031090496
23.0,0.28280616247951024,0.05491276322831323
23.5,0.27552365175752347,0.05485454484147035
24.0,0.2684346610129895,0.05479782261790523
24.5,0.26153401645684876,0.0547424866075158
25.0,0.2548166834974796,0.05468843522371803
25.5,0.24827776297246565,0.054635574414780355
26.0,0.24191248748299318,0.05458381693067483
26.5,0.2357162178280685,0.05453308167283271
27.0,0.2296844395358177,0.05448329311606156
27.5,0.22381275948921464,0.05443438079344291
28.0,0.21809690264364703,0.054386278836342596
28.5,0.212532708833807,0.054338925562769806
29.0,0.20711612966746332,0.0542922631082541
29.5,0.20184322550373343,0.05424623709420125
30.0,0.19671016251354503,0.05420079632936053
