cusip,securityTerm,issueDate,datedDate,maturityDate,interestRate,firstInterestPaymentDate,interestPaymentFrequency,auctionDate,pricePer100,highYield
91282CNW7,7-Year,2025-09-02T00:00:00,2025-08-31T00:00:00,2032-08-31T00:00:00,3.875000,2026-02-28T00:00:00,Semi-Annual,2025-08-28T00:00:00,99.696342,3.9250
91282CNX5,5-Year,2025-09-02T00:00:00,2025-08-31T00:00:00,2030-08-31T00:00:00,3.625000,2026-02-28T00:00:00,Semi-Annual,2025-08-27T00:00:00,99.552219,3.7240
91282CNV9,2-Year,2025-09-02T00:00:00,2025-08-31T00:00:00,2027-08-31T00:00:00,3.625000,2026-02-28T00:00:00,Semi-Annual,2025-08-26T00:00:00,99.969131,3.6410
91282CNT4,10-Year,2025-08-15T00:00:00,2025-08-15T00:00:00,2035-08-15T00:00:00,4.250000,2026-02-15T00:00:00,Semi-Annual,2025-08-06T00:00:00,99.959620,4.2550
91282CNU1,3-Year,2025-08-15T00:00:00,2025-08-15T00:00:00,2028-08-15T00:00:00,3.625000,2026-02-15T00:00:00,Semi-Annual,2025-08-05T00:00:00,99.876077,3.6690
